Date,AR_EQ,AR_FX,AR_VOL,AT_EQ,AT_VOL,AU_EQ,AU_FX,AU_VOL,BE_EQ,BE_VOL,BR_EQ,BR_FX,BR_VOL,CA_EQ,CA_FX,CA_VOL,CH_EQ,CH_FX,CH_VOL,CL_EQ,CL_FX,CL_VOL,CN_EQ,CN_FX,CN_VOL,CO_EQ,CO_FX,CO_VOL,DE_EQ,DE_VOL,EA_EQ,EA_FX,EA_VOL,ES_EQ,ES_VOL,FI_EQ,FI_VOL,FR_EQ,FR_VOL,GB_EQ,GB_FX,GB_VOL,GR_EQ,GR_VOL,HU_EQ,HU_FX,HU_VOL,ID_EQ,ID_FX,ID_VOL,IE_EQ,IE_VOL,IN_EQ,IN_FX,IN_VOL,IT_EQ,IT_VOL,JP_EQ,JP_FX,JP_VOL,KR_EQ,KR_FX,KR_VOL,MX_EQ,MX_FX,MX_VOL,MY_EQ,MY_FX,MY_VOL,NL_EQ,NL_VOL,NO_EQ,NO_FX,NO_VOL,NZ_EQ,NZ_FX,NZ_VOL,PE_EQ,PE_FX,PE_VOL,PH_EQ,PH_FX,PH_VOL,PL_EQ,PL_FX,PL_VOL,PT_EQ,PT_VOL,RO_EQ,RO_FX,RO_VOL,RU_FX,SA_EQ,SA_FX,SA_VOL,SE_EQ,SE_FX,SE_VOL,TH_EQ,TH_FX,TH_VOL,TR_EQ,TR_FX,TR_VOL,US_EQ,US_FX,US_VOL,ZA_EQ,ZA_FX,ZA_VOL
03-Jan-2000,551.83,439.8511,24.22,1204.88,10.63,NaN,81.1277,NaN,3311.05,19.05,16930.42,98.7353,23.75,8413.75,74.589,14.86,NaN,78.8154,NaN,1137.61,100.8805,18.67,NaN,88.6055,NaN,NaN,107.7225,NaN,6750.76,19.72,377.69,83.1761,13.71,11610,16.04,3381.09,30.03,5917.37,17.16,NaN,125.5655,NaN,5794.85,39.39,NaN,100.1865,NaN,NaN,118.2778,NaN,NaN,NaN,5375.11,146.0915,32.3,41226,18.9,NaN,95.4002,NaN,NaN,113.2627,NaN,7077.71,144.8554,27.76,833.89,93.1579,17.45,149.687,19.72,181.598,90.6917,19.77,NaN,85.8031,NaN,NaN,84.9224,NaN,2141.77,124.498,18.48,18981.7,89.844,25.81,2710.1,14.38,NaN,209.3345,28.72,129.3301,NaN,111.9732,13.13,1211.79,102.6376,23.88,NaN,95.7078,NaN,152.09,329.2935,55.19,1455.22,112.7717,17,8385.4,138.3875,15.33
04-Jan-2000,522.97,439.8518,26.74,1194.41,10.74,3093.7,81.3359,12.84,3172.21,21.17,15851,96.4415,27.48,8202.6,74.0122,16.01,7268.1,78.701,16.95,1121.88,101.0997,18.97,NaN,88.1509,NaN,NaN,107.796,NaN,6586.95,20.57,362.7,84.5516,16.23,11206.6,17.96,3161.5,33.97,5672.02,19.7,6665.9,126.0026,17.41,5588.65,40.06,8715.49,100.2742,25.03,700.218,117.3622,28.11,4940.21,16.92,5491.01,146.2936,30.56,40314,19.54,19002.86,93.9658,15.58,1059.04,114.0525,33.22,6675.27,143.6902,30.78,832.8,92.8725,17.33,145.273,20.88,176.243,90.581,20.93,NaN,85.4294,NaN,NaN,84.6694,NaN,2153.18,124.9341,18.49,18558,89.2141,26.17,2608.28,16.77,NaN,206.0443,28.72,128.1576,NaN,111.3088,13.22,1182.03,102.542,24.72,498.46,94.9723,26.83,175.12,324.7925,61.33,1399.42,112.4804,19.01,8365.55,137.9159,14.99
05-Jan-2000,532.68,440.7377,26.59,1192.89,10.74,3018.7,80.9968,13.89,3057.53,22.53,16245.14,95.2397,27.73,8119.42,74.0478,16.19,7181.3,79.5472,17.15,1124.06,100.7619,18.79,NaN,88.1241,NaN,NaN,106.7033,NaN,6502.07,20.66,353.74,84.9232,17.03,10863.1,19.26,2918.62,38.72,5479.7,20.94,6535.9,125.8865,17.96,5369.38,40.46,8464.34,101.1957,25.88,678.087,117.2113,28.99,4893.01,16.99,5357,142.4495,31.06,39452,20.13,18542.55,93.7221,16.44,986.31,114.9571,36.58,6764.31,142.2943,30.24,815.8,92.8831,17.95,141.407,21.73,171.553,90.1665,21.78,NaN,84.8178,NaN,NaN,84.9178,NaN,2074.75,125.5233,20.11,17694.4,88.599,28.35,2537.69,17.9,460.67,204.9539,29.2,127.7723,NaN,111.1656,13.32,1131.3,102.6477,26.62,465.85,94.8828,30.74,169.32,326.6163,62,1402.11,112.5051,18.64,8277.81,138.2893,15.23
06-Jan-2000,528.47,440.4381,25.88,1192.89,10.74,2999.3,81.4326,13.85,3061.09,22.47,16106.89,95.7406,27.88,8114.24,73.8042,16.2,7280.6,79.3195,17.17,1120.54,100.5348,18.75,NaN,88.3881,NaN,NaN,106.1784,NaN,6474.92,20.47,352.21,85.1198,16.92,10863.1,19.26,2918.62,38.72,5450.11,20.78,6447.2,126.5786,18.18,5369.38,40.46,8483.29,100.9171,25.87,688.521,117.2934,28.63,4893.8,16.98,5421.53,143.0223,31.09,38835,20.01,18168.27,92.698,16.79,960.79,114.7976,37.04,6751.65,142.024,29.63,818.43,93.143,17.93,141.773,21.73,171.995,90.3587,21.77,NaN,85.1083,NaN,NaN,85.4328,NaN,2079.11,125.3119,20.11,18074.7,88.4223,28.52,2598.79,18.5,484.04,204.7152,31.58,128.2261,NaN,111.2941,13.32,1131.3,102.5831,26.62,443.46,94.0993,32.49,162,326.7941,63.45,1403.45,112.7844,18.02,8290.11,138.4214,15.2
07-Jan-2000,522.12,440.5346,25.96,1223.61,11.88,3023.4,81.229,13.93,3138.55,23,16309.15,96.9893,27.91,8429.42,73.7541,17.52,7448,79.3976,17.63,1127.58,101.2782,18.02,NaN,88.7731,NaN,NaN,106.0965,NaN,6780.96,22,359.75,84.4937,16.82,11102.4,19.64,3010.38,38.93,5539.61,20.91,6504.8,126.4839,18.13,5410.82,40.49,8694.04,101.1657,26.04,688.521,117.7441,28.63,4913.76,16.99,5414.48,144.1019,31.08,40194,20.98,18193.41,92.0788,16.77,948.65,114.2773,36.83,7047.09,143.0565,30.53,818.43,93.4663,17.93,143.794,21.85,174.448,90.0706,21.9,NaN,84.4321,NaN,NaN,85.3413,NaN,2094.29,124.612,20.1,18953.5,89.4147,29.91,2649.62,18.85,526.34,206.0556,37.25,128.8445,NaN,111.7941,13.32,1152.54,102.8182,26.61,453.31,95.1448,32.64,158.37,328.8218,63.97,1441.47,113.1346,18.77,8500.37,139.4755,15.86
10-Jan-2000,519.97,439.971,25.79,1236.09,12.03,3084,81.5067,14.32,3203.75,23.35,17022.13,97.7535,28.56,8602.5,73.9487,17.67,7452.8,79.1793,17.63,1146.9,102.1511,18.26,NaN,88.8804,NaN,NaN,106.8156,NaN,6925.52,22.14,365.39,84.1127,16.82,11173.3,19.65,3068.58,38.96,5646.12,20.88,6607.7,126.8832,18.24,5353.14,39.75,8977.88,100.9704,26.07,688.521,117.9134,28.63,5010.44,17.39,5518.39,144.5411,31.28,39711,21.13,18193.41,92.1683,16.77,987.24,113.6601,37.69,7333.7,144.1471,29.64,818.43,93.5291,17.93,147.377,20.71,178.795,89.9452,20.76,NaN,84.8073,NaN,NaN,85.4184,NaN,2142.25,124.4101,20.63,19851.8,90.2643,31.21,2686.5,19,541.17,206.5906,37.8,127.5608,NaN,111.9596,13.32,1181.44,102.4395,26.85,459.47,95.6328,32.14,158.37,329.931,63.97,1457.6,113.1078,17.7,8781.67,139.9318,16.66
11-Jan-2000,520.89,440.0692,25.76,1225.68,11.88,3160.8,81.5013,15.11,3148.9,23.54,16572.72,97.3774,29.41,8442.61,73.8929,17.98,7420.1,79.2899,16.82,1142.03,102.4661,17.37,NaN,88.8508,NaN,NaN,106.8015,NaN,6891.25,22.13,362.93,84.2562,16.57,11012.4,19.96,3012.86,39.35,5613.9,20.86,6518.9,127.4452,18.29,5190.17,40,8881.02,101.2344,26.09,696.003,117.8131,28.67,5048.09,17.23,5296.3,143.5063,32.49,39870,20.61,18850.92,91.8628,18.34,981.33,114.7598,37.67,7143.13,143.6341,30.38,846.74,93.5363,18.97,146.069,20.83,177.208,89.827,20.88,NaN,84.6653,NaN,NaN,85.4469,NaN,2140.78,125.1662,20.32,19853.3,90.7187,30.96,2694.27,18.87,531.51,206.2739,38.01,125.0787,NaN,111.8763,13.32,1190.34,102.3722,26.38,452.48,94.5083,31.84,163.47,329.4555,64.02,1438.56,113.1072,18,8805.19,139.0643,16.35
12-Jan-2000,518.7,440.3195,25.43,1206.27,12.43,3088.4,81.767,15.66,3110.25,23.37,16616.87,96.7927,29.02,8359.96,74.0311,18.16,7440.2,79.3541,16.59,1153.54,102.8247,16.75,NaN,88.8574,NaN,NaN,106.7018,NaN,6912.81,21.63,362.92,84.6841,16.58,10851.8,19.61,3023.18,38.76,5582.5,20.62,6532.8,127.1035,17.59,5187.33,37.73,8910.43,101.3447,24.93,690.164,117.7463,28.69,5072.37,17.22,5491.2,143.064,32.23,40289,20.31,18677.42,91.6676,17.99,955.01,114.5564,38.15,7174.1,142.7326,30,869.62,93.5328,19.64,143.034,21.16,173.528,89.9788,21.21,NaN,84.84,NaN,NaN,85.3982,NaN,2101.02,124.3849,20.67,19469.7,90.8175,30.9,2697.17,18.81,528.15,205.5707,38.01,121.7359,2051.3,111.7854,13.29,1190.15,102.6874,26.17,459.62,94.7919,31.96,169.34,326.1037,63.84,1432.25,113.1152,18.03,8757.56,138.6411,15.08
13-Jan-2000,560.07,439.8809,29.91,1201.93,12.35,3078.9,82.3669,14.86,3133.58,23.16,17298.07,97.5263,29.47,8417.94,74.3129,18.14,7436.9,79.2215,15.93,1196.08,102.5152,18.07,NaN,88.9391,NaN,NaN,106.5954,NaN,6955.98,21.6,364.83,84.4692,16.49,10931.9,19.58,3142.13,39.09,5633.24,20.61,6531.5,127.5414,17.51,5181.73,37.7,9084.51,101.1846,24.35,691.61,117.847,28.69,5031.4,16.99,5444.82,143.8299,32.27,40499,20.04,18833.29,91.8296,18.06,951.05,113.5961,36.95,7274.52,143.1993,30,890.6,93.563,19.34,145.839,21.46,176.928,90.284,21.51,NaN,85.0467,NaN,NaN,85.5383,NaN,2084.5,123.9908,20.72,19900.4,90.4374,31.09,2739.64,18.83,530.63,205.8202,38,120.1778,2061.2,111.8676,13.29,1195.48,102.4373,25.99,458.4,95.0017,31.64,181.38,327.0012,64.5,1449.68,113.0754,17.66,8750.92,139.5581,15.02
14-Jan-2000,566.08,439.2609,29.71,1205.32,12.3,3115.4,82.8799,14.88,3128.5,23.11,17657.95,98.6922,29.58,8357.46,74.3358,18.2,7513.9,78.9582,16.02,1214.33,103.3722,17.01,NaN,88.9906,NaN,NaN,105.859,NaN,7173.22,22.09,373.63,84.2128,16.73,11184,19.55,3235.18,39.1,5787.44,21.19,6658.2,126.759,17.43,5273.83,35.92,9494.6,100.971,24.9,690.892,118.0554,28,5063.82,16.65,5471.27,143.882,32.27,41588,20.55,18956.55,91.8223,17.94,948.03,114.555,36.72,7381.49,144.1146,29.99,928.24,93.6645,20.74,146.52,20.31,177.755,90.5981,20.36,NaN,85.8441,NaN,NaN,85.8107,NaN,2102.1,124.4458,20.61,20445.7,90.908,31.42,2739.64,18.79,553.06,206.394,39.16,121.3133,2061.2,112.0391,13.29,1217.95,102.4315,26.08,474.37,94.8871,31.36,191.1,327.3925,64.45,1465.15,113.1012,17.7,8827.35,139.7451,15.02
