Date,US_GC_OIS_1D,US_GC_OIS_1W,US_GC_OIS_1M,US_GC_OIS_3M,US_GC_OIS_6M,US_GC_OIS_1Y,US_OIS_PR,US_OIS_Slope,US_RepoSlope,US_SC_GC,US_CP_OIS_AA_NonFin,US_CP_OIS_A2_NonFin,US_CP_OIS_AA_AssetBacked,EA_GC_OIS_1D,EA_GC_OIS_1W,EA_GC_OIS_1M,EA_GC_OIS_3M,EA_GC_OIS_6M,EA_GC_OIS_1Y,EA_OIS_PR,EA_OIS_Slope,EA_RepoSlope,GB_GC_OIS_1D,GB_GC_OIS_1W,GB_GC_OIS_1M,GB_GC_OIS_3M,GB_GC_OIS_6M,GB_GC_OIS_1Y,GB_OIS_PR,GB_OIS_Slope,GB_RepoSlope,GB_SC_GC,JP_GC_OIS_1D,JP_GC_OIS_1W,JP_GC_OIS_1M,JP_GC_OIS_3M,JP_GC_OIS_6M,JP_GC_OIS_1Y,JP_OIS_PR,JP_OIS_Slope,JP_RepoSlope
03-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,57.27,5.13000000000003,NaN,NaN,-35.2,-6.20000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.19,15.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-245.47,290.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
04-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,37.04,30.16,NaN,NaN,-28.8,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.1,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-77.19,131.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,26.01,38.09,NaN,NaN,-16.9,3.09999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.82999999999998,23.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89.75,140.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,20.51,29.49,NaN,NaN,-17.5,5.50000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.55999999999998,27.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-50.98,101.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
07-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,15.02,22.58,NaN,NaN,-19.5,1.49999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.76999999999999,34.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-63.64,114.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,17.6699999999999,7.73000000000001,NaN,NaN,-22.5000000000001,9.49999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.96,18.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-103.34,154.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,38.34,-1.64,NaN,NaN,-18.1999999999999,7.80000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.87,20.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-129.42,180.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,17.65,22.75,NaN,NaN,-16.4,6.59999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.05,17.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-207.27,258.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,13.29,32.41,NaN,NaN,-14.5,7.50000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.92,19.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.64,29.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14-Jan-2000,NaN,NaN,NaN,NaN,NaN,NaN,8.24000000000007,37.96,NaN,NaN,-22.4,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.89,17.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-76.05,92.8500000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
