Date,AR_PR,AT_PR,AU_PR,AU_OIS1D,BE_PR,BR_PR,BR_OIS1D,CA_PR,CA_OIS1D,CH_PR,CH_OIS1D,CL_PR,CL_OIS1D,CN_PR,CN_OIS1D,CO_PR,CO_OIS1D,DE_PR,EA_PR,EA_OIS1D,ES_PR,FI_PR,FR_PR,GB_PR,GB_OIS1D,GR_PR,HU_PR,HU_OIS1D,ID_PR,ID_OIS1D,IE_PR,IN_PR,IN_OIS1D,IT_PR,JP_PR,JP_OIS1D,KR_PR,MX_PR,MX_OIS1D,MY_PR,MY_OIS1D,NL_PR,NO_PR,NO_OIS1D,NZ_PR,NZ_OIS1D,PE_PR,PH_PR,PH_OIS1D,PL_PR,PL_OIS1D,PT_PR,RO_PR,RO_OIS1D,RU_PR,RU_OIS1D,SA_PR,SE_PR,SE_OIS1D,TH_PR,TH_OIS1D,TR_PR,TR_OIS1D,US_PR,US_OIS1D,ZA_PR,ZA_OIS1D
03-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.7633,NaN,NaN,NaN,NaN,12,NaN,3,3,3.1719,3,3,3,5.5,3.0453,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,NaN,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.43,6.0027,NaN,NaN
04-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.3809,NaN,NaN,NaN,NaN,12,NaN,3,3,3.151,3,3,3,5.5,4.7281,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.38,5.7504,NaN,NaN
05-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.6102,NaN,NaN,NaN,NaN,12,NaN,3,3,3.0883,3,3,3,5.5,4.6025,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41,5.6701,NaN,NaN
06-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.7633,NaN,NaN,NaN,NaN,12,NaN,3,3,3.0256,3,3,3,5.5,4.9902,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.54,5.7451,NaN,NaN
07-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,1.019,NaN,NaN,NaN,NaN,12,NaN,3,3,2.9523,3,3,3,5.5,4.8636,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.61,5.7602,NaN,NaN
10-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.7378,NaN,NaN,NaN,NaN,12,NaN,3,3,3.1196,3,3,3,5.5,4.4666,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.74,5.9167,NaN,NaN
11-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.886,NaN,NaN,NaN,NaN,12,NaN,3,3,3.0987,3,3,3,5.5,4.2058,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.63,6.0134,NaN,NaN
12-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.7633,NaN,NaN,NaN,NaN,12,NaN,3,3,3.1405,3,3,3,5.5,3.4273,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.59,5.7665,NaN,NaN
13-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.7633,NaN,NaN,NaN,NaN,12,NaN,3,3,3.1092,3,3,3,5.75,5.6536,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.58,5.7129,NaN,NaN
14-Jan-2000,NaN,3,NaN,NaN,3,19,NaN,4.75,NaN,NaN,0.7633,NaN,NaN,NaN,NaN,12,NaN,3,3,3.1089,3,3,3,5.75,4.9895,3,14.5,NaN,NaN,NaN,3,NaN,NaN,3,0,NaN,NaN,NaN,NaN,NaN,NaN,3,5.5,NaN,NaN,NaN,NaN,8.75,NaN,16.5,NaN,3,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,NaN,5.56,5.6424,NaN,NaN
